Impulsion,ImpulsionPAr,ImpulsionPAv,TravailPAr,TravailPAv
56368.246681767894,-3479.4927223095006,59847.73940407741,5737.075888349269,145199.867865158
56428.3541766304,-3464.059430858833,59892.41360748926,5833.215179698537,145478.12915596462
56492.75453785322,-3446.978104234777,59939.732642088005,5939.142834323176,145771.5736058603
56559.57772212233,-3429.6228079894067,59989.200530111775,6045.692442900999,146075.2327191065
56621.593624514004,-3412.108816291073,60033.702440805086,6153.3463282823495,146348.5560949951
56677.19187484268,-3391.207522838548,60068.399397681256,6284.156992504996,146564.9896020647
56726.666909729596,-3368.414839531024,60095.08174926064,6430.544622291816,146736.20897953722
56771.63561873398,-3345.6994875388286,60117.335106272825,6582.121798793407,146884.2950398062
56813.10384239731,-3324.245530471108,60137.349372868426,6732.063214070645,147024.4928869152
56856.97116910559,-3300.1068851390833,60157.07805424472,6910.750891238729,147169.80086305412
56907.56232695718,-3272.425492444384,60179.98781940157,7123.381744308893,147346.3455991917
56963.95277409245,-3246.5907242340722,60210.54349832654,7326.100943363971,147586.2781337239
57025.60157486857,-3219.2447803723635,60244.84635524094,7538.740303207171,147853.3471282731
57089.76672712131,-3187.900538912569,60277.667266033895,7773.7592577299365,148099.9386912169
57156.90904967977,-3154.660618129162,60311.569667808944,8011.095843746361,148341.6787574171
57227.021026614726,-3118.054887465741,60345.07591408049,8262.093355156396,148571.9609265115
57300.58122558495,-3075.940129473385,60376.52135505835,8546.511434847685,148784.3379408396
57378.35312402612,-3028.250102873833,60406.60322689997,8870.784450842171,148988.67667635472
57459.1449113998,-2976.548464790686,60435.69337619049,9228.837559315263,149190.17169160608
57547.02395092581,-2920.405749752425,60467.42970067824,9624.549674095495,149413.8441278433
57644.463175834724,-2856.263672291315,60500.726848126054,10078.69486476306,149649.6258912308
57752.081449397985,-2783.948698902111,60536.03014830012,10587.17651665428,149897.8501067977
57870.29067062773,-2704.368061441695,60574.65873206943,11145.51124719617,150168.8577227797
57999.66901803497,-2617.140559221366,60616.80957725635,11769.93184800718,150470.6337164557
58139.967410342324,-2522.841006850452,60662.80841719278,12476.049154052509,150815.0947970866
58288.11015237981,-2424.818335226717,60712.928487606536,13252.467429427299,151212.5925201854
58446.08444786247,-2321.1933824434923,60767.277830305975,14113.6962577275,151664.1537794853
58615.074660168226,-2207.161792454123,60822.236452622354,15078.622588290818,152129.1899587742
58791.42633052525,-2083.767766379834,60875.194096905085,16109.538930146518,152571.91305762812
58976.12437782265,-1948.609020287747,60924.7333981104,17207.9211355042,152975.1292330358
59168.65339527941,-1798.022529098587,60966.67592437801,18407.79823941534,153309.6612671831
59369.29374431707,-1627.606442907276,60996.900187224375,19761.371547376817,153549.5694874347
59579.168046450286,-1438.4872736371922,61017.65532008749,21269.14822142731,153714.99682692552
59796.488489705574,-1235.600443969327,61032.088933674924,22875.11827885456,153829.5212456833
60026.46944181775,-1016.089244026918,61042.55868584468,24560.019329528568,153910.0274550487
60268.08622441755,-786.4900652457072,61054.57628966327,26238.85102794949,153997.5115128929
60514.46653598133,-557.6827653073856,61072.14930128872,27832.577379146307,154119.3735097168
60767.969966928045,-326.83732252555467,61094.8072894536,29391.060932570228,154272.2659692343
61030.510334477956,-85.52096311921659,61116.031297597176,30993.677458702812,154413.3700003897
61304.76058572558,170.125725038106,61134.63486068747,32661.53937314748,154534.7586588457
61590.26995490666,440.70165037735296,61149.56830452932,34379.84431767755,154630.03170748698
61886.282529892786,722.4605246601258,61163.82200523267,36114.68714772512,154717.4988834457
62195.49372813626,1012.0059269950191,61183.487801141244,37841.797877184974,154834.6251531277
62514.73407611445,1308.805721389019,61205.92835472544,39539.210017408535,154962.90148417788
62839.66703480482,1609.281974254854,61230.38506054997,41148.817214565686,155093.6301959072
63163.4929633717,1909.506109784875,61253.98685358682,42631.22798584728,155210.6113114316
63487.94147373546,2212.2652257642308,61275.67624797122,44030.650231295804,155310.8576520575
63817.95778535291,2520.491390979822,61297.466394373085,45423.1691538536,155409.3014166117
64149.8530143328,2831.091856800846,61318.76115753195,46847.14137645916,155506.90906079928
64481.49223893699,3142.2196648393483,61339.272574097646,48318.83066721584,155603.89022325492
64813.27302283812,3453.3977906325317,61359.87523220559,49836.2906009327,155704.3981035167
65147.30058376488,3765.1608922203495,61382.139691544544,51382.08193194466,155814.8070562
65483.310599132754,4078.444545924057,61404.8660532087,52927.54447673363,155926.9463562252
65819.12196629056,4391.729713272239,61427.39225301832,54443.74096886666,156035.9412695991
66156.46745720098,4705.995025839465,61450.47243136152,55954.87669661497,156146.9219240192
66495.84859376786,5023.344300065902,61472.50429370196,57537.29107207686,156256.58004651038
66834.9522163938,5343.608548147009,61491.34366824679,59277.92374983322,156358.3608655209
67174.92690291506,5668.480899948936,61506.44600296612,61256.010261917785,156449.6403536085
67517.55001569173,5999.077600492898,61518.47241519883,63491.034846251845,156530.4964508997
67861.80104145681,6333.615573606607,61528.18546785021,65907.32108221117,156600.498265661
68208.23582836991,6671.536193096114,61536.6996352738,68380.0070167346,156662.8152899223
68558.12890604067,7014.451472643517,61543.67743339715,70785.97263041991,156712.1055049387
68911.03444504378,7361.9061529522105,61549.12829209156,73015.86904483191,156747.17465723198
69266.82563189778,7712.167810479007,61554.6578214188,75016.96902185035,156778.6685088214
69628.06697485778,8066.511789754956,61561.55518510284,76837.39552231906,156813.8748629818
69993.77384546143,8423.85844520543,61569.915400256024,78575.13049665239,156854.5096697264
70361.80191939611,8782.820787084409,61578.98113231173,80335.48874309928,156898.9934601163
70735.23781444384,9145.60246203405,61589.635352409816,82204.66656404985,156954.0760038225
71114.57132541914,9512.947880239491,61601.623445179655,84195.34316033899,157019.0387863742
71497.15350409942,9883.497270853892,61613.656233245536,86232.26362045709,157085.18479252778
71883.6259875096,10257.253551308258,61626.372436201345,88208.91546171723,157152.32737301948
72273.81600539804,10633.64131374446,61640.17469165358,90065.07916108242,157220.324678653
72664.42592698213,11010.0233392791,61654.40258770303,91842.0417366317,157287.4955739411
